seed,dimension,timeBoscia_Custom,solutionBoscia_Custom,terminationBoscia_Custom,numberNodesBoscia_Custom,dualGapBoscia_Custom,lbBoscia_Custom,relGapBoscia_Custom,timeBoscia_MIP,solutionBoscia_MIP,terminationBoscia_MIP,numberNodesBoscia_MIP,dualGapBoscia_MIP,lbBoscia_MIP,relGapBoscia_MIP,minimumTime
2,6,10.16,2.1116520376273074,1,5391,0.01897800099572544,2.092674036631582,0.009068780260815432,21.835,2.1116520376273074,1,5362,0.018534586354066906,2.0931174512732404,0.00885501496478009,10.16
3,6,6.901,1.7677150703194724,1,3287,0.01650016656312947,1.751214903756343,0.009422125478567328,21.545,1.7677150703194724,1,3279,0.01687280742387509,1.7508422628955973,0.009636966037117655,6.901
4,6,7.08,2.134835014121023,1,5490,0.020701843822328758,2.114133170298694,0.009792119112063272,21.707,2.134835014121023,1,5490,0.020701843822328758,2.114133170298694,0.009792119112063272,7.08
5,6,7.217,2.0142823379596324,1,4962,0.017428114022027597,1.9968542239376048,0.008727784839326442,21.747,2.0142823379596324,1,4962,0.017428114022027597,1.9968542239376048,0.008727784839326442,7.217
1,7,10.873,2.37229261982671,1,27969,0.023214407342390775,2.349078212484319,0.009882347560424509,250.831,2.37229261982671,1,28017,0.02308822504171415,2.3492043947849957,0.009828103971271191,10.873
2,7,11.583,2.422008436770351,1,30135,0.02381358107078535,2.3981948556995656,0.009929794075819084,160.941,2.422008436770351,1,30167,0.023907471173823414,2.3981009655965275,0.00996933470141714,11.583
3,7,10.681,2.3490337466077125,1,28496,0.023078439915016347,2.325955306692696,0.00992213386414198,265.938,2.3490337466077125,1,28565,0.023124634529417598,2.325909112078295,0.00994219181193834,10.681
4,7,16.668,2.602557764540016,1,39775,0.025749492736916846,2.5768082718030993,0.00999278565607012,175.382,2.602557764540016,1,39775,0.025749492736916846,2.5768082718030993,0.00999278565607012,16.668
5,7,12.39,2.449834535501338,1,33410,0.024149978926978122,2.42568455657436,0.009955943719691072,161.409,2.449834535501338,1,33410,0.024149978926978122,2.42568455657436,0.009955943719691072,12.39
1,8,242.615,2.8942452574246302,1,248302,0.028653244462954586,2.8655920129616756,0.009999066277875543,1183.931,2.8942452574246302,1,248302,0.028653244462954586,2.8655920129616756,0.009999066277875543,242.615
2,8,262.577,2.8062126869792547,1,220770,0.02755598237176038,2.7786567046074944,0.009917015774589134,1100.069,2.8062126869792543,1,220718,0.027718081993928223,2.778494604985326,0.00997593514998911,262.577
3,8,265.333,2.9224634507541283,1,258849,0.028927440294118867,2.8935360104600094,0.009997262930043865,1200.036,2.9224634507541283,0,190119,0.3119293828287941,2.610534067925334,0.11948872326983011,265.333
4,8,445.43,3.0022693493973156,1,307022,0.02969170089036055,2.972577648506955,0.009988536684743587,1200.036,3.0022693493973156,0,139972,0.6654480212177525,2.336821328179563,0.2847663247477083,445.43
5,8,430.474,2.960373697147759,1,289519,0.029294715246724667,2.9310789819010346,0.009994515817422547,1200.037,2.960373697147759,0,131233,0.6446951838501804,2.315678513297579,0.27840444178588497,430.474
1,9,1200.55,3.2369017690303363,0,649466,0.6994125356755281,2.5374892333548082,0.2756317254402047,1200.029,3.2369017690303363,0,216953,1.1583917878940309,2.0785099811363055,0.5573183667180405,1200.029
2,9,1200.572,3.2939198635879374,0,647871,0.7397874478947615,2.554132415693176,0.28964334164874833,1200.037,3.2939198635879374,0,203434,1.2185765654802587,2.0753432981076787,0.5871686706442113,1200.037
3,9,1200.572,3.423023565235768,0,655276,0.8969070826669747,2.5261164825687934,0.35505373123369,1200.026,3.423023565235768,0,196555,1.3945848555771234,2.0284387096586447,0.6875163883121767,1200.026
4,9,1200.582,3.504334111967668,0,646490,1.012454194357551,2.491879917610117,0.4063013579436699,1200.028,3.504334111967668,0,190132,1.4988088229560486,2.0055252890116195,0.7473397773481603,1200.028
5,9,1200.552,3.4752792966372104,0,641324,0.9670993973428184,2.508179899294392,0.38557816272065865,1200.022,3.4752792966372104,0,199594,1.4397398541915516,2.0355394424456588,0.7073013787744313,1200.022
1,10,1200.565,3.8624990166293705,0,866592,1.6407125112595478,2.2217865053698227,0.7384654228901469,1200.031,3.8624990166293705,0,106839,2.28298626532992,1.5795127512994505,1.4453737479812863,1200.031
2,10,1200.685,3.8698049654838362,0,828872,1.643974870312566,2.22583009517127,0.7385895598585963,1200.021,3.8871041580155303,0,120594,2.2531725389683555,1.6339316190471749,1.378988271420006,1200.021
3,10,1200.647,3.8525453501751827,0,841137,1.6486437318737002,2.2039016183014826,0.748056863420377,1200.021,3.8525453501751827,0,116059,2.2661618711573523,1.5863834790178304,1.4285082397355713,1200.021
4,10,1200.602,4.0492506564515,0,866497,1.8813587981840296,2.1678918582674704,0.8678287115703126,1200.026,4.058817023077542,0,200882,2.3572455599252944,1.7015714631522476,1.3853344458177368,1200.026
5,10,1200.677,3.8790334622940366,0,841352,1.7018307937241013,2.1772026685699353,0.7816593366762336,1200.018,3.8790334622940366,0,179497,2.1972527263724295,1.681780735921607,1.3065036835306278,1200.018
